голоса, 4
говорят, 4
выходи, 4
вчерашние, 4
вторично, 4
вся, 4
встретила, 4
встал, 4
всей, 4
вперед, 4
вошла, 4
ворота, 4
ворон, 4
вопросами, 4
вопрос, 4
воображал, 4
волю, 4
волен, 4
войско, 4
войска, 4
воина, 4
военные, 4
водку, 4
власьевна, 4
виде, 4
вид, 4
взятии, 4
вздохом, 4
взглянула, 4
вечером, 4
век, 4
везде, 4
вашего, 4
ваша, 4
вахмистр, 4
василисы, 4
вами, 4
будут, 4
будешь, 4
бледная, 4
беспокойство, 4
бежал, 4
бедная, 4
башкирцев, 4
барина, 4
арест, 4
анны, 4
анна, 4
алексея, 4
ай, 4
явилась, 3
эхе, 3
этих, 3
шум, 3
шел, 3
шапку, 3
шапка, 3
чулан, 3
чувство, 3
чувств, 3
что-де, 3
читал, 3
чистого, 3
чиновники, 3
чести, 3
часа, 3
чай, 3
целым, 3
хлеб, 3
халате, 3
утихла, 3
усмехнулся, 3
упал, 3
умирать, 3
умереть, 3
узнать, 3
ужо, 3
ужасом, 3
уехала, 3
удалось, 3
увидимся, 3
увидела, 3
тяжело, 3
тюрьму, 3
тулупчик, 3
тронулись, 3
триста, 3
тридцать, 3
требовал, 3
топить, 3
толпу, 3
толку, 3
товарищи, 3
тетрадку, 3
такую, 3
таки, 3
так-с, 3
сутки, 3
судьи, 3
судьбе, 3
строго, 3
стояло, 3
стоя, 3
стой, 3
стены, 3
стати, 3
старую, 3
стараясь, 3
старалась, 3
становилась, 3
спешил, 3
сперва, 3
спасти, 3
сорока, 3
сорок, 3
соломою, 3
солнце, 3
совету, 3
советовал, 3
советник, 3
совета, 3
совести, 3
собрал, 3
снял, 3
сношения, 3
сном, 3
смело, 3
смела, 3
смел, 3
слышать, 3
слышал, 3
слушаться, 3
случаю, 3
слух, 3
слуга, 3
слов, 3
слободы, 3
следующие, 3
следовать, 3
слабым, 3
сказав, 3
скажите, 3
сирота, 3
сильных, 3
сильнее, 3
силен, 3
сидя, 3
сидела, 3
